Current Day of the year,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
1,0.105,-0.294,-8,-0.114,-0.065,0.006,-0.285,-0.002
2,0.104,-0.428,-16,-0.186,-0.168,0.001,-0.566,-0.014
4,0.035,-0.133,3,0.036,-0.125,-0.003,-0.366,-0.014
5,0.072,0.052,-2,-0.024,-0.08,-0.006,0.186,0.005
6,0.078,-0.094,-3,-0.034,-0.144,-0.003,-0.113,-0.001
7,0.087,0.623,13,0.217,-0.182,-0.021,1.431,0.028
8,0.107,-0.291,-8,-0.118,-0.147,0.004,-0.31,-0.004
9,0.112,-0.432,-14,-0.171,-0.092,0.01,-0.499,-0.016
11,0.035,-0.139,1,0.012,-0.06,0.001,-0.22,-0.008
12,0.072,0.059,-2,-0.024,0.087,0.002,0.212,0.007
13,0.078,-0.094,-5,-0.057,0.001,0.005,-0.009,0.003
14,0.084,0.645,13,0.22,-0.129,-0.019,1.642,0.029
15,0.104,-0.291,-7,-0.106,-0.106,0.008,-0.313,-0.004
16,0.119,-0.442,-15,-0.185,-0.029,0.015,-0.494,-0.014
18,0.033,-0.144,0,0,-0.067,0.001,-0.27,-0.01
19,0.074,0.065,-2,-0.024,0.079,0.001,0.297,0.009
20,0.08,-0.094,-5,-0.057,-0.029,0.004,-0.059,0.001
21,0.085,0.675,15,0.263,-0.109,-0.018,1.668,0.027
22,0.116,-0.292,-9,-0.136,-0.107,0.007,-0.296,-0.003
23,0.117,-0.453,-15,-0.185,-0.038,0.015,-0.51,-0.014
25,0.034,-0.15,0,0,-0.031,0.003,-0.253,-0.009
26,0.074,0.068,-1,-0.012,-0.006,-0.004,0.116,0.002
27,0.08,-0.096,-5,-0.057,0,0.005,-0.045,0.001
28,0.091,0.688,18,0.333,-0.139,-0.021,1.581,0.025
29,0.119,-0.283,-10,-0.156,-0.109,0.007,-0.289,-0.003
30,0.117,-0.468,-16,-0.2,-0.027,0.017,-0.529,-0.015
32,0.031,-0.151,0,0,-0.025,0.003,-0.283,-0.011
33,0.07,0.063,-1,-0.012,-0.103,-0.011,0.086,0.002
34,0.088,-0.097,-4,-0.047,0.008,0.006,-0.054,0.001
35,0.082,0.683,16,0.308,-0.167,-0.025,1.706,0.026
36,0.118,-0.278,-9,-0.148,-0.079,0.01,-0.282,-0.003
37,0.13,-0.481,-17,-0.218,-0.091,0.013,-0.574,-0.017
39,0.017,-0.157,3,0.04,-0.011,0.005,-0.241,-0.008
40,0.073,0.061,-2,-0.026,-0.02,-0.005,0.141,0.004
41,0.079,-0.087,-7,-0.083,0.013,0.006,-0.045,0.001
42,0.087,0.68,24,0.571,-0.161,-0.024,1.555,0.023
43,0.118,-0.267,-16,-0.276,-0.007,0.015,-0.189,-0.001
44,0.115,-0.491,-15,-0.205,-0.096,0.014,-0.611,-0.018
46,0.027,-0.159,-1,-0.014,-0.01,0.004,-0.3,-0.012
47,0.078,0.054,0,0,-0.028,-0.005,0.17,0.005
48,0.079,-0.092,-5,-0.063,-0.124,-0.003,-0.063,0.001
49,0.067,0.663,24,0.615,-0.186,-0.026,1.49,0.022
50,0.117,-0.241,-14,-0.264,0.14,0.025,-0.032,0.002
51,0.124,-0.505,-18,-0.254,-0.19,0.006,-0.663,-0.019
53,0.036,-0.161,-2,-0.027,0.019,0.006,-0.291,-0.011
54,0.072,0.049,1,0.014,-0.058,-0.007,0.13,0.004
55,0.077,-0.094,-4,-0.053,-0.032,0.003,-0.06,0.001
56,0.07,0.66,18,0.474,-0.174,-0.024,1.458,0.021
57,0.124,-0.233,-12,-0.24,-0.085,0.006,-0.162,0
58,0.119,-0.513,-13,-0.206,-0.084,0.017,-0.638,-0.019
60,0.029,-0.171,-7,-0.104,0.021,0.006,-0.257,-0.009
61,0.076,0.052,9,0.152,-0.148,-0.015,-0.026,-0.003
62,0.077,-0.094,-6,-0.09,-0.018,0.005,-0.058,0.001
63,0.063,0.602,17,0.459,-0.274,-0.037,1.299,0.022
64,0.145,-0.218,-10,-0.213,-0.012,0.015,-0.171,-0.001
65,0.095,-0.512,-11,-0.19,-0.091,0.018,-0.624,-0.019
67,0.038,-0.169,-10,-0.142,0.141,0.015,-0.206,-0.007
68,0.069,0.047,9,0.145,-0.122,-0.013,0.039,0
69,0.08,-0.094,-3,-0.048,0,0.006,-0.045,0.001
70,0.06,0.604,18,0.529,-0.186,-0.026,1.246,0.021
71,0.14,-0.204,-11,-0.244,-0.053,0.009,-0.092,0.001
72,0.097,-0.526,-12,-0.211,-0.098,0.018,-0.64,-0.019
74,0.043,-0.166,-8,-0.121,0.047,0.008,-0.225,-0.008
75,0.073,0.043,7,0.118,-0.081,-0.009,0.041,0
76,0.075,-0.089,-3,-0.049,0.055,0.01,-0.017,0.002
77,0.063,0.577,18,0.545,-0.211,-0.028,1.125,0.019
78,0.128,-0.189,-11,-0.25,-0.056,0.009,-0.051,0.002
79,0.111,-0.535,-10,-0.185,-0.004,0.025,-0.596,-0.015
81,0.035,-0.159,-8,-0.131,-0.087,-0.001,-0.333,-0.013
82,0.067,0.044,5,0.09,0,-0.003,0.024,-0.001
83,0.082,-0.089,-3,-0.05,-0.008,0.005,-0.05,0.001
84,0.063,0.56,18,0.563,-0.215,-0.028,1.065,0.019
85,0.113,-0.173,-10,-0.238,-0.028,0.011,-0.031,0.002
86,0.126,-0.543,-14,-0.25,0.223,0.036,-0.468,-0.008
88,0.028,-0.16,-3,-0.058,-0.302,-0.017,-0.485,-0.019
89,0.074,0.056,2,0.043,0.105,0.003,0.06,0
90,0.074,-0.094,-2,-0.034,-0.093,-0.001,-0.142,-0.003
91,0.047,0.516,18,0.563,-0.234,-0.031,0.89,0.017
92,0.134,-0.132,-10,-0.238,0.085,0.02,0.131,0.004
93,0.128,-0.55,-16,-0.276,0.142,0.031,-0.524,-0.011
95,0.02,-0.17,1,0.023,-0.312,-0.017,-0.472,-0.018
96,0.078,0.042,2,0.031,-0.045,-0.007,-0.023,-0.003
97,0.074,-0.091,-3,-0.052,0.028,0.008,-0.033,0.002
98,0.031,0.441,19,0.633,-0.328,-0.039,0.627,0.014
99,0.127,-0.13,-7,-0.189,0,0.012,0.132,0.005
100,0.157,-0.537,-22,-0.373,0.56,0.05,-0.448,-0.008
